"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Categories","Expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Food and beverage services","Dollars","81","millions","6","v19458008","1.3.2.1.15","3666","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Food and beverage services","Dollars","81","millions","6","v19458008","1.3.2.1.15","3655","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Food and beverage services","Dollars","81","millions","6","v19458008","1.3.2.1.15","3669","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Food and beverage services","Dollars","81","millions","6","v19458008","1.3.2.1.15","3099","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Food and beverage services","Dollars","81","millions","6","v19458008","1.3.2.1.15","1239","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","3356","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","3387","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","3373","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","3294","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","2841","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Other tourism commodities","Dollars","81","millions","6","v19458009","1.3.2.1.21","1510","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","1253","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","1266","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","1277","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","1283","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","1110","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Recreation and entertainment","Dollars","81","millions","6","v19458010","1.3.2.1.22","371","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","1051","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","1053","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","1045","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","991","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","811","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Travel agency services","Dollars","81","millions","6","v19458011","1.3.2.1.23","229","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","991","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","1006","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","988","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","957","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","866","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Pre-trip expenditures","Dollars","81","millions","6","v29788888","1.3.2.1.27","892","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","61","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","62","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","63","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","63","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","54","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Convention fees","Dollars","81","millions","6","v29788889","1.3.2.1.28","18","","","","0"
"2019-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","3694","","","","0"
"2019-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","3690","","","","0"
"2019-07","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","3703","","","","0"
"2019-10","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","3688","","","","0"
"2020-01","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","3195","","","","0"
"2020-04","Canada","2016A000011124","2012 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Total other commodities","Dollars","81","millions","6","v19458012","1.3.2.1.25","1267","","","","0"


