"REF_DATE","GEO","DGUID","Seasonal adjustment","Activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","536.3","","","","1"
"2015-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","545.9","","","","1"
"2015-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","565.1","","","","1"
"2015-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","586.5","","","","1"
"2015-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","542.9","","","","1"
"2016-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","556.1","","","","1"
"2016-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","571.4","","","","1"
"2016-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","597.1","","","","1"
"2016-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","552.6","","","","1"
"2017-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","565.6","","","","1"
"2017-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","584.9","","","","1"
"2017-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","608.0","","","","1"
"2017-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","563.0","","","","1"
"2018-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","571.3","","","","1"
"2018-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","588.0","","","","1"
"2018-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","610.6","","","","1"
"2018-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","563.3","","","","1"
"2019-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","579.8","","","","1"
"2019-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","592.7","","","","1"
"2019-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","614.5","","","","1"
"2019-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","573.1","","","","1"
"2020-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","544.2","","","","1"
"2020-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","304.4","","","","1"
"2010-01","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","78.6","","","","1"
"2010-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","78.3","","","","1"
"2010-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","77.5","","","","1"
"2010-10","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","75.2","","","","1"
"2011-01","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","75.2","","","","1"
"2011-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","77.5","","","","1"
"2011-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","80.0","","","","1"
"2011-10","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","79.5","","","","1"
