"REF_DATE","GEO","DGUID","Labour productivity measures and related variables","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","103.745","","","","3"
"2013-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","105.075","","","","3"
"2014-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","105.584","","","","3"
"2014-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","107.923","","","","3"
"2014-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","108.179","","","","3"
"2014-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","109.437","","","","3"
"2015-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","107.831","","","","3"
"2015-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","106.565","","","","3"
"2015-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","107.199","","","","3"
"2015-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","106.446","","","","3"
"2016-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","106.006","","","","3"
"2016-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","104.101","","","","3"
"2016-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","106.012","","","","3"
"2016-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","107.038","","","","3"
"2017-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","108.877","","","","3"
"2017-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","110.163","","","","3"
"2017-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","110.826","","","","3"
"2017-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","111.539","","","","3"
"2018-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","112.664","","","","3"
"2018-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","113.549","","","","3"
"2018-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","113.529","","","","3"
"2018-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","112.150","","","","3"
"2019-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","111.505","","","","3"
"2019-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","113.510","","","","3"
"2019-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","112.347","","","","3"
"2019-10","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","112.003","","","","3"
"2020-01","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","110.266","","","","3"
"2020-04","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","96.725","","","","3"
"2020-07","Canada","2016A000011124","Real gross domestic product (GDP)","Business sector, goods","Index, 2012=100","348","units","0","v21573663","1.1.1","105.245","","","","3"
"2010-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","95.398","","","","3"
"2010-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","95.882","","","","3"
"2011-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","98.464","","","","3"
"2011-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","99.081","","","","3"
"2011-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","98.940","","","","3"
"2011-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","99.380","","","","3"
"2012-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","97.181","","","","3"
"2012-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","97.818","","","","3"
"2012-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","100.474","","","","3"
"2012-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","104.527","","","","3"
"2013-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","111.024","","","","3"
"2013-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","116.463","","","","3"
"2013-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","122.130","","","","3"
"2013-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","123.641","","","","3"
"2014-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","120.882","","","","3"
"2014-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","121.758","","","","3"
"2014-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","121.422","","","","3"
"2014-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","122.913","","","","3"
"2015-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","124.796","","","","3"
"2015-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","126.539","","","","3"
"2015-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","127.811","","","","3"
"2015-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","129.998","","","","3"
"2016-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","131.004","","","","3"
"2016-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","131.444","","","","3"
"2016-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","133.846","","","","3"
"2016-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.591","","","","3"
"2017-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","135.108","","","","3"
"2017-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.305","","","","3"
"2017-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.123","","","","3"
"2017-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","133.541","","","","3"
"2018-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.998","","","","3"
"2018-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","136.140","","","","3"
"2018-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.740","","","","3"
"2018-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.180","","","","3"
"2019-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","134.492","","","","3"
"2019-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","138.431","","","","3"
"2019-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","138.912","","","","3"
"2019-10","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","140.776","","","","3"
"2020-01","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","138.053","","","","3"
"2020-04","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","141.618","","","","3"
"2020-07","Canada","2016A000011124","Real gross domestic product (GDP)","Agriculture, forestry, fishing and hunting [11]","Index, 2012=100","348","units","0","v21573664","1.1.2","143.226","","","","3"
"2010-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","95.523","","","","3"
"2010-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","99.361","","","","3"
"2011-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","99.412","","","","3"
"2011-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","99.549","","","","3"
"2011-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","104.874","","","","3"
"2011-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","103.970","","","","3"
"2012-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","101.829","","","","3"
"2012-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","101.156","","","","3"
"2012-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","97.309","","","","3"
"2012-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","99.705","","","","3"
"2013-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","103.886","","","","3"
"2013-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","103.437","","","","3"
"2013-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","105.681","","","","3"
"2013-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","107.914","","","","3"
"2014-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","110.583","","","","3"
"2014-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","116.000","","","","3"
"2014-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","113.388","","","","3"
"2014-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","115.200","","","","3"
"2015-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","111.287","","","","3"
"2015-04","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","107.589","","","","3"
"2015-07","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","112.584","","","","3"
"2015-10","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","111.126","","","","3"
"2016-01","Canada","2016A000011124","Real gross domestic product (GDP)","Mining and oil and gas extraction [21]","Index, 2012=100","348","units","0","v21573665","1.1.3","108.735","","","","3"
